step=5000 loss=0.0012806367594748735
step=10000 loss=0.0010686094174161553
step=15000 loss=0.0010639764368534088
step=20000 loss=0.0009390045888721943
step=25000 loss=0.0009022444719448686
step=30000 loss=0.0009051829692907631
step=35000 loss=0.0007867095991969109
step=40000 loss=0.0008768672705627978
step=45000 loss=0.0008051946060732007
step=50000 loss=0.000810612051282078
step=55000 loss=0.0007634783396497369
step=60000 loss=0.0008126430911943316
step=65000 loss=0.0007756403065286577
step=70000 loss=0.0007703860173933208
step=75000 loss=0.0007734603714197874
final_step=80000 loss=0.000800911511760205
