step=5000 loss=0.0012462458107620478
step=10000 loss=0.0011385689722374082
step=15000 loss=0.00110610481351614
step=20000 loss=0.0010524893878027797
step=25000 loss=0.0008583276066929102
step=30000 loss=0.000804071722086519
step=35000 loss=0.0007850680267438293
step=40000 loss=0.0008103772415779531
step=45000 loss=0.0007789633236825466
step=50000 loss=0.0008909947937354445
step=55000 loss=0.0007984727271832526
step=60000 loss=0.0009025727049447596
step=65000 loss=0.000785482523497194
step=70000 loss=0.0008051180629990995
step=75000 loss=0.0007803072221577168
final_step=80000 loss=0.0008464034181088209
