step=5000 loss=0.001085113501176238
step=10000 loss=0.0011484138667583466
step=15000 loss=0.0009586501982994378
step=20000 loss=0.0009924842743203044
step=25000 loss=0.0008287096861749887
step=30000 loss=0.0009706812561489642
step=35000 loss=0.0007629666361026466
step=40000 loss=0.0007044969242997468
step=45000 loss=0.0007265214226208627
step=50000 loss=0.0007470293785445392
step=55000 loss=0.0006243233219720423
step=60000 loss=0.0007704069139435887
step=65000 loss=0.0007225662120617926
step=70000 loss=0.0006919486331753433
step=75000 loss=0.000742152042221278
final_step=80000 loss=0.0007614109781570733
