step=5000 loss=0.001242268132045865
step=10000 loss=0.0012204949744045734
step=15000 loss=0.001070694881491363
step=20000 loss=0.0010268696350976825
step=25000 loss=0.0008763390360400081
step=30000 loss=0.0008343405788764358
step=35000 loss=0.0008515036897733808
step=40000 loss=0.0008647176437079906
step=45000 loss=0.000794020714238286
step=50000 loss=0.0008949366165325046
step=55000 loss=0.0008193697431124747
step=60000 loss=0.0008496221271343529
step=65000 loss=0.0007964958786033094
step=70000 loss=0.0007945571560412645
step=75000 loss=0.0008813561871647835
final_step=80000 loss=0.0008719033794477582
