step=5000 loss=0.0011709837708622217
step=10000 loss=0.0011947868624702096
step=15000 loss=0.0010958313941955566
step=20000 loss=0.0009863839950412512
step=25000 loss=0.0009329548920504749
step=30000 loss=0.00080205308040604
step=35000 loss=0.0007668876787647605
step=40000 loss=0.0007459470070898533
step=45000 loss=0.0007805980858393013
step=50000 loss=0.0008123110746964812
step=55000 loss=0.0007045441889204085
step=60000 loss=0.0007008316460996866
step=65000 loss=0.0007456361781805754
step=70000 loss=0.0007073181914165616
step=75000 loss=0.0007056272588670254
final_step=80000 loss=0.0007820065948180854
