step=5000 loss=0.0011230114614591002
step=10000 loss=0.0010823224438354373
step=15000 loss=0.0010475231101736426
step=20000 loss=0.0009759952081367373
step=25000 loss=0.0008079615654423833
step=30000 loss=0.0008415681659244001
step=35000 loss=0.0007689243066124618
step=40000 loss=0.0007561994134448469
step=45000 loss=0.0007540207006968558
step=50000 loss=0.000701776472851634
step=55000 loss=0.0006328261806629598
step=60000 loss=0.0007254890515469015
step=65000 loss=0.0007355983834713697
step=70000 loss=0.0007575189811177552
step=75000 loss=0.0007369017694145441
final_step=80000 loss=0.0006857215776108205
