step=5000 loss=0.0012975052231922746
step=10000 loss=0.001163698616437614
step=15000 loss=0.0010981719242408872
step=20000 loss=0.0010571307502686977
step=25000 loss=0.0009031364461407065
step=30000 loss=0.000859394611325115
step=35000 loss=0.0008466847357340157
step=40000 loss=0.0009226146503351629
step=45000 loss=0.0008460227982141078
step=50000 loss=0.0008105464512482285
step=55000 loss=0.0008143715094774961
step=60000 loss=0.0008543164585717022
step=65000 loss=0.0008340999484062195
step=70000 loss=0.000821646477561444
step=75000 loss=0.0008405986009165645
final_step=80000 loss=0.0008174199610948563
