step=5000 loss=0.0012826650636270642
step=10000 loss=0.0011363233206793666
step=15000 loss=0.0010226465528830886
step=20000 loss=0.001082711503840983
step=25000 loss=0.0008232873515225947
step=30000 loss=0.0008585969335399568
step=35000 loss=0.000770252663642168
step=40000 loss=0.0007595968781970441
step=45000 loss=0.0007283826125785708
step=50000 loss=0.0008218667353503406
step=55000 loss=0.0007156141218729317
step=60000 loss=0.0008195966947823763
step=65000 loss=0.000705868995282799
step=70000 loss=0.0007519548526033759
step=75000 loss=0.0007833194686099887
final_step=80000 loss=0.0008455886272713542
