step=5000 loss=0.0012690239818766713
step=10000 loss=0.0011088511673733592
step=15000 loss=0.0010874212021008134
step=20000 loss=0.0010900459019467235
step=25000 loss=0.0008654567645862699
step=30000 loss=0.000947949883993715
step=35000 loss=0.0007617687806487083
step=40000 loss=0.0007731783553026617
step=45000 loss=0.0008203638717532158
step=50000 loss=0.0008221616153605282
step=55000 loss=0.000772459723521024
step=60000 loss=0.0008133776718750596
step=65000 loss=0.0007176252547651529
step=70000 loss=0.0007691238424740732
step=75000 loss=0.0007719510467723012
final_step=80000 loss=0.0007679261616431177
