step=5000 loss=0.0011300828773528337
step=10000 loss=0.0010894786100834608
step=15000 loss=0.0009826585883274674
step=20000 loss=0.0009423358715139329
step=25000 loss=0.0008651971002109349
step=30000 loss=0.0008562850416637957
step=35000 loss=0.0007582589169032872
step=40000 loss=0.0008080682600848377
step=45000 loss=0.000737078720703721
step=50000 loss=0.000701294222380966
step=55000 loss=0.0006374286604113877
step=60000 loss=0.0007435479783453047
step=65000 loss=0.0006599908811040223
step=70000 loss=0.0007021076744422317
step=75000 loss=0.0007417467422783375
final_step=80000 loss=0.0007137555512599647
