step=5000 loss=0.001237714197486639
step=10000 loss=0.0010281327413395047
step=15000 loss=0.0010752726811915636
step=20000 loss=0.0009771460900083184
step=25000 loss=0.0008035465725697577
step=30000 loss=0.0007336524431593716
step=35000 loss=0.0007523960666731
step=40000 loss=0.0007511280127801001
step=45000 loss=0.0007688961923122406
step=50000 loss=0.0007729869103059173
step=55000 loss=0.0007052008295431733
step=60000 loss=0.0008074163924902678
step=65000 loss=0.0007545246626250446
step=70000 loss=0.000792433915194124
step=75000 loss=0.0006994802970439196
final_step=80000 loss=0.0007607560255564749
