step=5000 loss=0.0011995153035968542
step=10000 loss=0.001164306071586907
step=15000 loss=0.0010681201238185167
step=20000 loss=0.0010555300395935774
step=25000 loss=0.0009377722744829953
step=30000 loss=0.0008838736684992909
step=35000 loss=0.0008988278568722308
step=40000 loss=0.0008016643696464598
step=45000 loss=0.0007807882502675056
step=50000 loss=0.0007862088386900723
step=55000 loss=0.0007762107998132706
step=60000 loss=0.000862836663145572
step=65000 loss=0.000825866183731705
step=70000 loss=0.0009100675233639777
step=75000 loss=0.0007991037564352155
final_step=80000 loss=0.0008053227793425322
