step=5000 loss=0.0013474531006067991
step=10000 loss=0.0011284769279882312
step=15000 loss=0.0011321173515170813
step=20000 loss=0.0011829459108412266
step=25000 loss=0.0009700569789856672
step=30000 loss=0.0010439998004585505
step=35000 loss=0.000898562022484839
step=40000 loss=0.0008270127000287175
step=45000 loss=0.00076170644024387
step=50000 loss=0.0009710874292068183
step=55000 loss=0.0009076250717043877
step=60000 loss=0.0008618329302407801
step=65000 loss=0.0008907457231543958
step=70000 loss=0.000926986918784678
step=75000 loss=0.000973159447312355
final_step=80000 loss=0.0007579385419376194
