step=5000 loss=0.0012207130203023553
step=10000 loss=0.0012144303182139993
step=15000 loss=0.0011772795114666224
step=20000 loss=0.0010691162897273898
step=25000 loss=0.001022190204821527
step=30000 loss=0.0008915986982174218
step=35000 loss=0.000949710316490382
step=40000 loss=0.0008539548725821078
step=45000 loss=0.0007879798067733645
step=50000 loss=0.0009545851498842239
step=55000 loss=0.0009589383262209594
step=60000 loss=0.0008716966258361936
step=65000 loss=0.000870708201546222
step=70000 loss=0.0008924875874072313
step=75000 loss=0.0009984488133341074
final_step=80000 loss=0.0008289309917017817
