step=5000 loss=0.0011743648210540414
step=10000 loss=0.0010899989865720272
step=15000 loss=0.0010933498851954937
step=20000 loss=0.0010415812721475959
step=25000 loss=0.0008440210949629545
step=30000 loss=0.0008774465532042086
step=35000 loss=0.0008902882691472769
step=40000 loss=0.0007470129639841616
step=45000 loss=0.0007607149891555309
step=50000 loss=0.0007899770862422884
step=55000 loss=0.0007273514638654888
step=60000 loss=0.0007956558838486671
step=65000 loss=0.0007717682747170329
step=70000 loss=0.0008974743541330099
step=75000 loss=0.0007830027607269585
final_step=80000 loss=0.0007407731609418988
