step=5000 loss=0.0012868427438661456
step=10000 loss=0.0010888936230912805
step=15000 loss=0.0009617810137569904
step=20000 loss=0.0009341120603494346
step=25000 loss=0.0008558019762858748
step=30000 loss=0.0008272920968011022
step=35000 loss=0.0008327666437253356
step=40000 loss=0.0008119406993500888
step=45000 loss=0.0007662808056920767
step=50000 loss=0.0007636600057594478
step=55000 loss=0.0007935548201203346
step=60000 loss=0.0008351596188731492
step=65000 loss=0.0007708485936746001
step=70000 loss=0.0008108036709018052
step=75000 loss=0.0008105019805952907
final_step=80000 loss=0.0007293655653484166
