step=5000 loss=0.0012009965721517801
step=10000 loss=0.001150800846517086
step=15000 loss=0.0010597755899652839
step=20000 loss=0.0010144668631255627
step=25000 loss=0.0009130584076046944
step=30000 loss=0.0008583645685575902
step=35000 loss=0.0008001024252735078
step=40000 loss=0.0008401037775911391
step=45000 loss=0.0008122245199047029
step=50000 loss=0.0007828674279153347
step=55000 loss=0.0008214879781007767
step=60000 loss=0.0007888534455560148
step=65000 loss=0.0008112146169878542
step=70000 loss=0.0008222084725275636
step=75000 loss=0.0007904652738943696
final_step=80000 loss=0.0007617723313160241
