step=5000 loss=0.00114273966755718
step=10000 loss=0.0010563666000962257
step=15000 loss=0.0010786580387502909
step=20000 loss=0.000941712292842567
step=25000 loss=0.0007859828765504062
step=30000 loss=0.0008842504466883838
step=35000 loss=0.0007924808305688202
step=40000 loss=0.0007463960791938007
step=45000 loss=0.0007216872181743383
step=50000 loss=0.0008131745271384716
step=55000 loss=0.0006314864149317145
step=60000 loss=0.0006817960529588163
step=65000 loss=0.0007197305676527321
step=70000 loss=0.0007799835875630379
step=75000 loss=0.0006684997351840138
final_step=80000 loss=0.0007076971814967692
