step=5000 loss=0.0011445620330050588
step=10000 loss=0.001028922270052135
step=15000 loss=0.001079349429346621
step=20000 loss=0.000977412099018693
step=25000 loss=0.0008480972028337419
step=30000 loss=0.0007781506865285337
step=35000 loss=0.0007794250850565732
step=40000 loss=0.0007819100865162909
step=45000 loss=0.0007198191015049815
step=50000 loss=0.0007073715096339583
step=55000 loss=0.0006501502357423306
step=60000 loss=0.0007370375096797943
step=65000 loss=0.0006837506080046296
step=70000 loss=0.0007025744416750968
step=75000 loss=0.0007084046374075115
final_step=80000 loss=0.0006756051443517208
