step=5000 loss=0.0014414562610909343
step=10000 loss=0.0013138396898284554
step=15000 loss=0.0010705703170970082
step=20000 loss=0.00111595937050879
step=25000 loss=0.0009773034835234284
step=30000 loss=0.0009141052723862231
step=35000 loss=0.0008234598790295422
step=40000 loss=0.0009678408387117088
step=45000 loss=0.0008420425001531839
step=50000 loss=0.0008895443752408028
step=55000 loss=0.0009343170677311718
step=60000 loss=0.0008408736321143806
step=65000 loss=0.0009121448383666575
step=70000 loss=0.00094432762125507
step=75000 loss=0.0008662873296998441
final_step=80000 loss=0.0009069049265235662
