step=5000 loss=0.0011564870364964008
step=10000 loss=0.001153013319708407
step=15000 loss=0.0010330508230254054
step=20000 loss=0.000993260066024959
step=25000 loss=0.0009205984533764422
step=30000 loss=0.00090524967527017
step=35000 loss=0.0008414420881308615
step=40000 loss=0.0007613107445649803
step=45000 loss=0.0008222686010412872
step=50000 loss=0.0008388321730308235
step=55000 loss=0.0008020762470550835
step=60000 loss=0.0008315570885315537
step=65000 loss=0.0008030248573049903
step=70000 loss=0.0007858331082388759
step=75000 loss=0.0008048687595874071
final_step=80000 loss=0.0007689200574532151
