step=5000 loss=0.0010858365567401052
step=10000 loss=0.0009601358324289322
step=15000 loss=0.0009272050810977817
step=20000 loss=0.0008711213013157248
step=25000 loss=0.0007576175266876817
step=30000 loss=0.0007817854057066143
step=35000 loss=0.0007689380436204374
step=40000 loss=0.000731191597878933
step=45000 loss=0.0007290683570317924
step=50000 loss=0.0007632298511452973
step=55000 loss=0.0007543559186160564
step=60000 loss=0.0007108389982022345
step=65000 loss=0.0007422073394991457
step=70000 loss=0.0007324416073970497
step=75000 loss=0.0007219435647130013
final_step=80000 loss=0.0007390475948341191
