step=5000 loss=0.00023070308088790625
step=10000 loss=0.00016809884982649237
step=15000 loss=0.00015995877038221806
step=20000 loss=0.00014105184527579695
step=25000 loss=0.0001230609486810863
step=30000 loss=0.00011962839198531583
step=35000 loss=0.00011188237112946808
step=40000 loss=0.00011343028745613992
step=45000 loss=0.00010992072202498093
step=50000 loss=0.00010718903649831191
step=55000 loss=0.00010927944822469726
step=60000 loss=0.00010674812801880762
step=65000 loss=0.00010795312118716538
step=70000 loss=0.00011195697879884392
step=75000 loss=0.00010691083298297599
final_step=80000 loss=0.00010936809849226847
