step=5000 loss=0.0002133907109964639
step=10000 loss=0.0001890475832624361
step=15000 loss=0.0001661203132243827
step=20000 loss=0.00013535587640944868
step=25000 loss=0.0001202439671033062
step=30000 loss=0.00011978526890743524
step=35000 loss=0.00011050918692490086
step=40000 loss=0.0001137242215918377
step=45000 loss=0.00011566486500669271
step=50000 loss=0.00010654068319126964
step=55000 loss=0.00011321359488647431
step=60000 loss=0.00011066278239013627
step=65000 loss=0.00010586088319541886
step=70000 loss=0.00011091987835243344
step=75000 loss=0.00011003914551110938
final_step=80000 loss=0.00011205078772036359
