step=5000 loss=0.0005942227435298264
step=10000 loss=0.0005253091221675277
step=15000 loss=0.0004868550749961287
step=20000 loss=0.00039469017065130174
step=25000 loss=0.0002774098247755319
step=30000 loss=0.00033850056934170425
step=35000 loss=0.0003254485491197556
step=40000 loss=0.00031970685813575983
step=45000 loss=0.00029430040740408003
step=50000 loss=0.0002635702840052545
step=55000 loss=0.0002916008816100657
step=60000 loss=0.0002958725381176919
step=65000 loss=0.0002942344581242651
step=70000 loss=0.00028712430503219366
step=75000 loss=0.00031116793979890645
final_step=80000 loss=0.00027117005083709955
