step=5000 loss=0.0006205042009241879
step=10000 loss=0.000548885203897953
step=15000 loss=0.0005023794365115464
step=20000 loss=0.0004267789772711694
step=25000 loss=0.00033352896571159363
step=30000 loss=0.0003726461436599493
step=35000 loss=0.0003370791382621974
step=40000 loss=0.0003334095235913992
step=45000 loss=0.00031745037995278835
step=50000 loss=0.00031448827940039337
step=55000 loss=0.00031748710898682475
step=60000 loss=0.00031583159579895437
step=65000 loss=0.00033055353560484946
step=70000 loss=0.0003047694335691631
step=75000 loss=0.0003390503698028624
final_step=80000 loss=0.0003098510787822306
