step=5000 loss=0.0005889285239391029
step=10000 loss=0.0005030602915212512
step=15000 loss=0.0004768563958350569
step=20000 loss=0.0004167697043158114
step=25000 loss=0.0003002693993039429
step=30000 loss=0.0003614534216467291
step=35000 loss=0.0003269736480433494
step=40000 loss=0.0003289851010777056
step=45000 loss=0.0003050374798476696
step=50000 loss=0.0002948298933915794
step=55000 loss=0.00031961468630470335
step=60000 loss=0.0003239462967030704
step=65000 loss=0.00031835550907999277
step=70000 loss=0.0003178049228154123
step=75000 loss=0.00030317084747366607
final_step=80000 loss=0.00032420826028101146
